"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","specExpensesSubject","costAmount","specExpensesMovableSubject","specExpensesRealtySubject","dnt_specExpenses_encoded","specExpensesOtherMovableSubject","type","specExpensesAssetsSubject","iteration","specExpensesOtherRealtySubject","specExpensesOtherSubject","specExpenses","dnt_costAmount_hidden","specOtherExpenses","object_id","person","costsAmount","country","declarant","subjectRelation"
"Артюшенко Ігор Андрійович","Верховна Рада України","Народний депутат України","nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Артюшенко","FALSE","Андрійович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Ігор","Нерухоме майно",108000,"","Квартира","leasing","","1","","1521735827064","","","Оренда","FALSE","","1521735827064","","","1","Артюшенко Ігор Андрійович",NA
"Артюшенко Ігор Андрійович","Верховна Рада України","Народний депутат України","nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Артюшенко","FALSE","Андрійович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Ігор","Нерухоме майно",0,"","Квартира","property_end","","2","","1521735691675","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1521735691675",NA,NA,NA,"Артюшенко Ігор Андрійович",NA
"Артюшенко Ігор Андрійович","Верховна Рада України","Народний депутат України","nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Артюшенко","FALSE","Андрійович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Ігор","Нерухоме майно",740609,"","Квартира","purchase","","1","","1521735432258","","","Придбання","FALSE","","1521735432258","","","1","Артюшенко Ігор Андрійович",NA
"Бабій Юрій Юрійович","Верховна Рада України","Нароний депутут України","nacp_9c2436f1-7d69-4b83-acf9-37dd9baa6d45","Бабій","FALSE","Юрійович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9c2436f1-7d69-4b83-acf9-37dd9baa6d45","Юрій","Нерухоме майно",0,"","Квартира","property_start","","2","","1521487741643","","","Суб’єкт декларування набув право власності (у тому числі спільної власності), володіння чи користування","TRUE","","1521487741643",NA,NA,NA,"Бабій Юрій Юрійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",25000,"","Земельна ділянка","purchase","","1","","1521141072185","","","Придбання","FALSE","","1521141072185","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",25000,"","Земельна ділянка","purchase","","1","","1521141164571","","","Придбання","FALSE","","1521141164571","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",5360000,"","Інше нерухоме майно","purchase","","1","","1521135313910","Зупиночний комплекс","","Придбання","FALSE","","1521135313910","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Рухоме майно",577948,"Інше рухоме майно","","purchase","Паливо","1","","1521134190720","","","Придбання","FALSE","","1521134190720","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",7254,"","Інше нерухоме майно","leasing","","1","","1521134715925","Офісне приміщення","","Оренда","FALSE","","1521134715925","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Рухоме майно",155000,"Інше рухоме майно","","purchase","Путівки","1","","1521140938626","","","Придбання","FALSE","","1521140938626","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Рухоме майно",138245,"Інше рухоме майно","","purchase","Офісні меблі","1","","1521135155772","","","Придбання","FALSE","","1521135155772","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",84140,"","Житловий будинок","leasing","","1","","1477664743037","","","Оренда","FALSE","","1477664743037","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Рухоме майно",170000,"Інше рухоме майно","","purchase","Подорож","1","","1521138821538","","","Придбання","FALSE","","1521138821538","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",25000,"","Земельна ділянка","purchase","","1","","1521141185545","","","Придбання","FALSE","","1521141185545","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",25000,"","Земельна ділянка","purchase","","1","","1521141133371","","","Придбання","FALSE","","1521141133371","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",24993,"","Земельна ділянка","purchase","","1","","1521141212375","","","Придбання","FALSE","","1521141212375","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Рухоме майно",800000,"Інше рухоме майно","","other","Повітряне судно","1","","1490807702058","","","Інше","FALSE","Безвідсоткова поворотна фінансова допомога","1490807702058","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Нерухоме майно",58123,"","Інше нерухоме майно","leasing","","1","","1477743686917","Нежитлове приміщення громадська приймальня народного депутата України","","Оренда","FALSE","","1477743686917","","","1","Балицький Євген Віталійович",NA
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Балицький","FALSE","Віталійович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","Євген","Рухоме майно",500000,"Інше рухоме майно","","other","Повітряне судно","1","","1490807441771","","","Інше","FALSE","Безвідсоткова поворотна фінансова допомога","1490807441771","","","1","Балицький Євген Віталійович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","Рухоме майно",0,"Грошові кошти","","other","","2","","1522155806929","","","Інше","TRUE","депозит","1522155806929",NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","Рухоме майно",0,"Грошові кошти","","other","","2","","1522155738897","","","Інше","TRUE","кредит","1522155738897",NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","Рухоме майно",0,"Грошові кошти","","other","","2","","1522156000136","","","Інше","TRUE","депозит","1522156000136",NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","Рухоме майно",0,"Грошові кошти","","other","","2","","1522155778489","","","Інше","TRUE","депозит","1522155778489",NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","Нерухоме майно",0,"","Квартира","property_end","","2","","1521041281734","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1521041281734",NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","Рухоме майно",96624,"Грошові кошти","","other","","1","","1522155476032","","","Інше","FALSE","проценти по кредиту","1522155476032","","","1","Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","Рухоме майно",2500000,"Грошові кошти","","other","","1","","1522154827891","","","Інше","FALSE","благодійність","1522154827891","","","1","Бандуров Володимир Володимирович",NA
"Барвіненко Віталій Дмитрович","Верховна Рада України","Народний депутат України","nacp_96954375-7076-4095-af09-4e0b9d2eac8e","Барвіненко","FALSE","Дмитрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_96954375-7076-4095-af09-4e0b9d2eac8e","Віталій","Нерухоме майно",200000,"","Земельна ділянка","other","","1","","1522065317748","","","Інше","FALSE","Земельна ділянка","1522065317748","","","1","Барвіненко Віталій Дмитрович",NA
"Барвіненко Віталій Дмитрович","Верховна Рада України","Народний депутат України","nacp_96954375-7076-4095-af09-4e0b9d2eac8e","Барвіненко","FALSE","Дмитрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_96954375-7076-4095-af09-4e0b9d2eac8e","Віталій","Нерухоме майно",0,"","Земельна ділянка","property_end","","2","","1522065435715","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1522065435715",NA,NA,NA,"Барвіненко Віталій Дмитрович",NA
"Барна Олег Степанович","Верховна Рада України","Народний депутат України","nacp_239b6c97-e578-4dcc-9865-f0f30eb88506","Барна","FALSE","Степанович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_239b6c97-e578-4dcc-9865-f0f30eb88506","Олег","Нерухоме майно",191080,"","Інше нерухоме майно","leasing","","1","","1477820713552","Готельний номер","","Оренда","FALSE","","1477820713552","","","1","Барна Олег Степанович",NA
"Батенко Тарас Іванович","Верховна Рада України","народний депутат","nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Батенко","FALSE","Іванович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Тарас","Рухоме майно",0,"Транспортний засіб","","property_start","","2","","1488782216036","","","Суб’єкт декларування набув право власності (у тому числі спільної власності), володіння чи користування","TRUE","","1488782216036",NA,NA,NA,"Батенко Тарас Іванович",NA
"Батенко Тарас Іванович","Верховна Рада України","народний депутат","nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Батенко","FALSE","Іванович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Тарас","Рухоме майно",1886437,"Транспортний засіб","","purchase","","1","","1488784464807","","","Придбання","FALSE","","1488784464807","","","1","Батенко Тарас Іванович",NA
"Батенко Тарас Іванович","Верховна Рада України","народний депутат","nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Батенко","FALSE","Іванович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Тарас","Рухоме майно",0,"Транспортний засіб","","property_end","","2","","1519217881506","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1519217881506",NA,NA,NA,"Батенко Тарас Іванович",NA
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Береза","FALSE","Юхимович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Борислав","Рухоме майно",0,"Транспортний засіб","","property_end","","2","","1490741996319","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1490741996319",NA,NA,NA,"Береза Борислав Юхимович",NA
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Береза","FALSE","Юхимович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Борислав","Рухоме майно",0,"Транспортний засіб","","property_end","","2","","1490741953688","","","Право власності (у тому числі спільної власності), володіння чи користування суб’єкта декларування припинено","TRUE","","1490741953688",NA,NA,NA,"Береза Борислав Юхимович",NA
"Березенко Сергій Іванович","Верховна Рада України","Народний депутат України","nacp_d05514f5-8723-46d6-af67-eb590348efde","Березенко","FALSE","Іванович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d05514f5-8723-46d6-af67-eb590348efde","Сергій","Рухоме майно",0,"Інше рухоме майно","","property_start","Наручний годинник","2","","1521469856961","","","Суб’єкт декларування набув право власності (у тому числі спільної власності), володіння чи користування","TRUE","","1521469856961",NA,NA,NA,"Березенко Сергій Іванович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","Нематеріальні активи",87600,"","","purchase","","1","Туристичні послуги, проживання","1520673442939","","","Придбання","FALSE","","1520673442939","","","137","Березкін Станіслав Семенович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","Нематеріальні активи",185394,"","","purchase","","1","Туристичні послуги, проживання","1490173379822","","","Придбання","FALSE","","1490173379822","","","137","Березкін Станіслав Семенович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","Нематеріальні активи",133076,"","","purchase","","1","Проживання, лікування.","1490172969002","","","Придбання","FALSE","","1490172969002","","","149","Березкін Станіслав Семенович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","Нематеріальні активи",90750,"","","purchase","","1","Туристичні послуги, проживання","1520673223669","","","Придбання","FALSE","","1520673223669","","","137","Березкін Станіслав Семенович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","Нематеріальні активи",88200,"","","purchase","","1","Туристичні послуги, проживання","1520673378370","","","Придбання","FALSE","","1520673378370","","","137","Березкін Станіслав Семенович",NA
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","Нематеріальні активи",87450,"","","purchase","","1","Туристичні послуги, проживання","1520673638379","","","Придбання","FALSE","","1520673638379","","","137","Березкін Станіслав Семенович",NA
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","Березюк","FALSE","Романович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a","Олег","Нерухоме майно",191080,"","Інше нерухоме майно","leasing","","1","","1477582950129","Номер готелю ","","Оренда","FALSE","","1477582950129","","","1","Березюк Олег Романович",NA
"Білецький Андрій Євгенійович","Верховна рада України","Народний депутат України","nacp_a9d388db-f391-4c5c-a15c-a425e95d3c00","Білецький","FALSE","Євгенійович",2018-02-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a9d388db-f391-4c5c-a15c-a425e95d3c00","Андрій","Нерухоме майно",80000,"","Квартира","leasing","","1","","1518092793152","","","Оренда","FALSE","","1518092793152","","","1","Білецький Андрій Євгенійович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","Нерухоме майно",0,"","Інше нерухоме майно","other","","2","","1521988803946","нежитлове (службове) приміщення","","Інше","TRUE","Оренда","1521988803946",NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","Рухоме майно",0,"Транспортний засіб","","property_start","","2","","1521988698572","","","Суб’єкт декларування набув право власності (у тому числі спільної власності), володіння чи користування","TRUE","","1521988698572",NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","Рухоме майно",1584126,"Транспортний засіб","","purchase","","1","","1521988586126","","","Придбання","FALSE","","1521988586126","","","1","Біловол Олександр Миколайович",NA
