"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","emitent_ukr_fullname","dnt_objectType_encoded","emitent_ua_middlename","emitent_ua_lastname","dnt_is_foreign","emitent_eng_company_address","dateOrigin","emitent_ua_company_name","emitent_ukr_company_address","emitent_ua_firstname","person","emitent_ukr_company_name","emitent_ua_sameRegLivingAddress","ownerThirdPerson","guarantor_exist_","ownerThirdPersonThing","sizeObligation","emitent_eng_fullname","emitent_eng_company_name","guarantor_realty_exist_","dnt_sizeObligation_hidden","currency","emitent_eng_company_code","margin.emitent","emitent_ua_company_code","otherObjectType","iteration","objectType","emitent_citizen","object_id","emitent_ua_taxNumber_extendedstatus","emitent_ua_regAddress_extendedstatus","emitent_ua_actualAddress_extendedstatus","emitent_ua_birthday_extendedstatus","emitent_ua_company_code_extendedstatus","emitent_eng_company_code_extendedstatus","emitent_eng_taxNumber_extendedstatus","margin.emitent_extendedstatus","dateOrigin_extendedstatus","emitent_ukr_regAddress_extendedstatus","emitent_eng_regAddress_extendedstatus","emitent_ua_middlename_extendedstatus","emitent_ukr_company_address_extendedstatus","emitent_eng_company_address_extendedstatus","declarant","subjectRelation","in_hryvnias"
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","Березюк","FALSE","Романович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a","Олег","","loans_paid","","","FALSE","",2008-04-18,"","","","1477144027601","","","","TRUE","",168870,"","","TRUE","FALSE","UAH","","1477144027601","","","1477148014018","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","","1477148014018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Криницька-Березюк  Уляна Володимирівна","дружина",168870
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","Березюк","FALSE","Романович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a","Олег","","loans_received","","","FALSE","",2006-06-13,"","","","1477144027601","","","","FALSE","",90479,"","","TRUE","FALSE","USD","","1477144027601","","","1477605334332","Отримані кредити","","1477605334332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Криницька-Березюк  Уляна Володимирівна","дружина",2539494.27
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","Березюк","FALSE","Романович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a","Олег","","loans_paid","","","FALSE","",2006-06-13,"","","","1477144027601","","","","FALSE","",131398,"","","TRUE","FALSE","UAH","","1477144027601","","","1477147275684","Розмір сплачених коштів в рахунок основної суми позики (кредиту)","","1477147275684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Криницька-Березюк  Уляна Володимирівна","дружина",131398
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","Березюк","FALSE","Романович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a","Олег","","loans_paid","","","FALSE","",2006-06-13,"","","","1477144027601","","","","FALSE","",259233,"","","TRUE","FALSE","UAH","","1477144027601","","","1477147878714","Розмір сплачених коштів в рахунок процентів за позикою (кредитом)","","1477147878714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Криницька-Березюк  Уляна Володимирівна","дружина",259233
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","Березюк","FALSE","Романович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a","Олег","","loans_received","","","FALSE","",2008-04-18,"","","","1477144027601","","","","TRUE","",308141,"","","TRUE","FALSE","USD","","1477144027601","","","1477604650157","Отримані кредити","","1477604650157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Криницька-Березюк  Уляна Володимирівна","дружина",8648662.16
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","Березюк","FALSE","Романович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a","Олег","","loans_paid","","","FALSE","",2008-04-18,"","","","1477144027601","","","","TRUE","",654512,"","","TRUE","FALSE","UAH","","1477144027601","","","1477148514402","Розмір сплачених коштів в рахунок процентів за позикою (кредитом)","","1477148514402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Криницька-Березюк  Уляна Володимирівна","дружина",654512
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","","other","","","FALSE","",2010-02-15,"ТОВ ""БІЛА ІНТЕГРАЦІЯ""","","","1476340760455","","","","FALSE","",137745,"","","FALSE","FALSE","UAH","","j","36948860","Не внесений статутний капітал","1490800371967","Інше","Юридична особа, зареєстрована в Україні","1490800371967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина",137745
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","","other","","","FALSE","",2017-08-21,"ТОВ ""БІЛА ІНТЕГРАЦІЯ""","","","1476340760455","","","","FALSE","",130000,"","","FALSE","FALSE","UAH","","j","36948860","Поворотна безвідсоткова фінансова допомога","1522150403308","Інше","Юридична особа, зареєстрована в Україні","1522150403308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина",130000
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","","other","","","FALSE","",2016-11-03,"ТОВ ""БІЛА ІНТЕГРАЦІЯ""","","","1476340760455","","","","FALSE","",30000,"","","FALSE","FALSE","UAH","","j","36948860","Поворотна безвідсоткова фінансова допомога","1490800586352","Інше","Юридична особа, зареєстрована в Україні","1490800586352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина",30000
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","","other","","","FALSE","",2017-08-29,"ТОВ ""БІЛА ІНТЕГРАЦІЯ""","","","1476340760455","","","","FALSE","",42000,"","","FALSE","FALSE","UAH","","j","36948860","Поворотна безвідсоткова фінансова допомога","1522150503298","Інше","Юридична особа, зареєстрована в Україні","1522150503298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина",42000
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","","other","","","FALSE","",2014-03-21,"ТОВ ""БІЛА ІНТЕГРАЦІЯ""","","","1476340760455","","","","FALSE","",1900095,"","","FALSE","FALSE","UAH","","j","36948860","Придбання частки статутного капіталу","1490800462340","Інше","Юридична особа, зареєстрована в Україні","1490800462340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина",1900095
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","","other","","","FALSE","",2017-08-14,"ТОВ ""БІЛА ІНТЕГРАЦІЯ""","","","1476340760455","","","","FALSE","",205000,"","","FALSE","FALSE","UAH","","j","36948860","Поворотна безвідсоткова фінансова допомога","1522150179428","Інше","Юридична особа, зареєстрована в Україні","1522150179428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина",205000
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","","other","","","FALSE","",2010-02-15,"ТОВ ""БІЛА ІНТЕГРАЦІЯ""","","","1","","","","FALSE","",413234,"","","FALSE","FALSE","UAH","","j","36948860","Не внесений статутний капітал","1490800200245","Інше","Юридична особа, зареєстрована в Україні","1490800200245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA,413234
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","","informal_loans","Васильович","Приймак","FALSE","",2014-04-30,"","","Юрій ","1","","FALSE","","FALSE","",15000000,"","","FALSE","FALSE","UAH","","j","","","1522056684119","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1522056684119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA,15000000
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","","informal_loans","Миколайович","Савченко ","FALSE","",2013-09-25,"","","Михайло","1","","FALSE","","FALSE","",15000000,"","","FALSE","FALSE","UAH","","j","","","1522073803480","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1522073803480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA,15000000
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","","informal_loans","Миколайович","Савченко ","FALSE","",2014-06-18,"","","Михайло","1","","FALSE","","FALSE","",17000000,"","","FALSE","FALSE","UAH","","j","","","1522074039549","Кошти, позичені суб'єкту декларування або члену його сім'ї іншими особами","Громадянин України","1522074039549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA,17000000
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-06-29,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1477560601122","","","","FALSE","",1625,"","","FALSE","FALSE","UAH","","j","20033533","Зобов'язання за договором обов'язкового страхування цивільно-правової відповідальності власників наземних транспортних засобів","1490986411851","Інше","Юридична особа, зареєстрована в Україні","1490986411851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік",1625
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-03-13,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1","","","","FALSE","",3619,"","","FALSE","FALSE","UAH","","j","20033533","Зобов'язання за договором комплексного страхування подорожуючих за межами України","1477662052285","Інше","Юридична особа, зареєстрована в Україні","1477662052285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA,3619
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-03-13,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1477560601122","","","","FALSE","",3619,"","","FALSE","FALSE","UAH","","j","20033533","обов'язання за договором комплексного страхування подорожуючих за межами України","1490986470893","Інше","Юридична особа, зареєстрована в Україні","1490986470893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік",3619
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-04-07,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1","","","","FALSE","",1887,"","","FALSE","FALSE","UAH","","j","20033533","Зобов'язання за договором обов'язкового страхування цивільно-правової відповідальності власників наземних транспортних засобів","1521559585648","Інше","Юридична особа, зареєстрована в Україні","1521559585648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA,1887
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-10-24,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1477560601122","","","","FALSE","",1426,"","","FALSE","FALSE","UAH","","j","20033533","Зобов'язання за договором обов'язкового страхування цивільно-правової відповідальності власників наземних транспортних засобів","1477662702477","Інше","Юридична особа, зареєстрована в Україні","1477662702477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік",1426
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-08-01,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1477561700510","","","","FALSE","",3919,"","","FALSE","FALSE","UAH","","j","20033533","Зобов'язання за договором добровільного комплексного страхування подорожуючих за кордон","1477663177733","Інше","Юридична особа, зареєстрована в Україні","1477663177733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець-Шереметьєва Софія Олексіївна","дочка",3919
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-08-01,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1","","","","FALSE","",3919,"","","FALSE","FALSE","UAH","","j","20033533","Зобов'язання за договором добровільного комплексного страхування подорожуючих за кордон","1490986529665","Інше","Юридична особа, зареєстрована в Україні","1490986529665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA,3919
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","","other","","","FALSE","",2017-08-01,"Приватне акціонерне товариство ""Страхова компанія ""Уніка""","","","1477560601122","","","","FALSE","",3919,"","","FALSE","FALSE","UAH","","j","20033533","Зобов'язання за договором добровільного комплексного страхування подорожуючих за кордон","1521559993000","Інше","Юридична особа, зареєстрована в Україні","1521559993000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік",3919
"Бойко Олена Петрівна","Верховна Рада України","Народний депутат України","nacp_df257c6d-6932-4c93-98c1-d7c25efba992","Бойко","TRUE","Петрівна",2018-02-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_df257c6d-6932-4c93-98c1-d7c25efba992","Олена","","other","","","FALSE","",2017-09-07,"АТ ""Закритий недиверсифікований венчурний корпоративний інвестиційний фонд ""Обрій"" від імені та в інтересах якого діє ТОВ ""Компанія з управління активами ""Інвест-Консалтинг""","","","1","","","","FALSE","",456777,"","","FALSE","FALSE","UAH","","j","39956099","попередній договір","1519229879086","Інше","Юридична особа, зареєстрована в Україні","1519229879086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бойко Олена Петрівна",NA,456777
"Бойко Юрій Анатолійович","Верховна Рада України","Народний депутат України","nacp_4fb806f6-e0bc-446b-aee5-48441786d809","Бойко","TRUE","Анатолійович",2018-04-04,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_4fb806f6-e0bc-446b-aee5-48441786d809","Юрій","","other","","","TRUE","USA, 2101 L Street, Suite 1000 Washington, DC 20037",2015-01-01,"","США, 2101 Л Стріт, Сюіт 1000 Вошингтон ДС 20037","","1","Грінбек Траурік","","","FALSE","",245069,"","Greenberg Traurig","FALSE","FALSE","USD","","j","","Оплата юридичних послуг","1522830586318","Інше","Юридична особа, зареєстрована за кордоном","1522830586318",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Бойко Юрій Анатолійович",NA,6878406.27
