"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","person","legalForm","corporate_rights_company_code","country","corporate_rights_company_code_extendedstatus","iteration","en_name","name","dnt_cost_hidden","cost_percent","dnt_cost_percent_hidden","cost","object_id","ownershipType","otherOwnership","percent.ownership","cost_extendedstatus","cost_percent_extendedstatus","legalForm_extendedstatus","name_extendedstatus","en_name_extendedstatus","country_extendedstatus","declarant","subjectRelation"
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","1475223786795","товариство з обмеженою відповідальністю","36178618","1",NA,"1521031284604","","ТОВ ""СОЄВИЙ СВІТ""","FALSE","100","FALSE","52500","1521031284604","Власність","",NA,"0",NA,NA,NA,NA,NA,"Бандурова Наталя Олегівна","дружина"
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","1","товариство з додатковою відповідальністю","00448611","1",NA,"1489667439806","","ТДВ ""ЛЮБОКУТ""","FALSE","100","FALSE","772996.5","1489667439806",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","1475223786795","товариство з додатковою відповідальністю","13622789","1",NA,"1475509659372","","Товариство з додатковою відповідальністю страхова компанія""КРЕДО""","FALSE","6.8277","FALSE","2151337","1475509659372","Власність","",NA,NA,NA,NA,NA,NA,NA,"Бандурова Наталя Олегівна","дружина"
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","1475223786795","товариство з обмеженою відповідальністю","41310445","1",NA,"1521031701447","","ТОВ ""Український харчовий альянс ЕКО""","FALSE","50","FALSE","3750000","1521031701447","Власність","",NA,NA,NA,NA,NA,NA,NA,"Бандурова Наталя Олегівна","дружина"
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Бандуров","FALSE","Володимирович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","Володимир","1","товариство з обмеженою відповідальністю","31522861","1",NA,"1489667994877","","Товариство з обмеженою відповідальністю ""АВАНТЕ""","FALSE","50","FALSE","5900","1489667994877",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бандуров Володимир Володимирович",NA
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Береза","FALSE","Юхимович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","Борислав","1477306706314","Товариство з обмеженою відповідальністю","41157977","1",NA,"1522058085784","","ТОВ ""АНАДАР КИЇВ""","FALSE","50","FALSE","50000","1522058085784","Власність","",NA,NA,NA,NA,NA,NA,NA,"Береза Наталія  Миколаївна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Береза","TRUE","Миколайович",2018-04-06,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Юрій","1477581548250","товариство з обмеженою відповідальністю","41173103","1",NA,"1521470491379","","Товариство з обмеженою відповідальністю ""ПЕРЛИНА САКСАГАНІ"" ","FALSE","33.33","FALSE","3333.34","1521470491379","Власність","",NA,NA,NA,NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Береза","TRUE","Миколайович",2018-04-06,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Юрій","1477581548250","товариство з обмеженою відповідальністю","23368547","1",NA,"1477645932127","","Товариство з обмеженою відповідальністю ""ЮТЕМ""","FALSE","70","FALSE","2800","1477645932127","Власність","",NA,NA,NA,NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Береза","TRUE","Миколайович",2018-04-06,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Юрій","1477581548250","товариство з обмеженою відповідальністю","40885833","1",NA,"1490806377989","","Товариство з обмеженою відповідальністю ""САКСАГАНЬ КОЗАЦЬКА""","FALSE","100","FALSE","15000","1490806377989","Власність","",NA,NA,NA,NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Березенко Сергій Іванович","Верховна Рада України","Народний депутат України","nacp_d05514f5-8723-46d6-af67-eb590348efde","Березенко","FALSE","Іванович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d05514f5-8723-46d6-af67-eb590348efde","Сергій","1521460834985","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","37616970","1",NA,"1521817127175","","ТОВ ""ЮК"" ЕКСЕЛЬСІОР""","FALSE","100","FALSE","2000","1521817127175","Власність","",NA,NA,NA,NA,NA,NA,NA,"Березенко Уляна Ярославівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","1476878331811","Феремерське господарство","36952168","1",NA,"1522420024879","","Фермерське господарство ""Березкіної Ірини Олександрівни""","TRUE","100","FALSE","0","1522420024879","Власність","",NA,"1",NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","1476878331811","Товариство з обмеженою відповідальністю","41230611","1",NA,"1522419659223","","ТОВ ""Хайрок Трейд""","FALSE","1","FALSE","100","1522419659223","Власність","",NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","1476878331811","Товариство з обмеженою відповідальністю","40878905","1",NA,"1519557639973","","ТОВ ""ХАЙРОК""","FALSE","100","FALSE","10000","1519557639973","Власність","",NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","1476340760455","Товариство з обмеженою відповідальністю","3706488","1",NA,"1476343624884","","""ТОНДО-ІНВЕСТ""","FALSE","35","FALSE","2100000","1476343624884","Власність","",NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","1","Товариство з обмеженою відповідальністю","36948860","1",NA,"1476343230787","","""БІЛА ІНТЕГРАЦІЯ""","FALSE","75","FALSE","8250000","1476343230787","Власність","",NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","1476340760455","Товариство з обмеженою відповідальністю","36948860","1",NA,"1476343517464","","""БІЛА ІНТЕГРАЦІЯ""","FALSE","25","FALSE","2750000","1476343517464","Власність","",NA,NA,NA,NA,NA,NA,NA,"Біла Ірина Павлівна","дружина"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","Білий","FALSE","Петрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311","Олексій","1","Товариство з обмеженою відповідальністю","33577163","1",NA,"1476343428907","","""КОМПАНІЯ КАМЕЛОТ""","FALSE","5","FALSE","1000000","1476343428907","Власність","",NA,NA,NA,NA,NA,NA,NA,"Білий Олексій Петрович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","1477653728557","Товариство з обмеженою відповідальністю","31630099","1",NA,"1477660788201","","ТОВ ""БАЗІССПЕЦСЕРВІС""","FALSE","100","FALSE","10000","1477660788201","Власність","",NA,NA,NA,NA,NA,NA,NA,"Біловол Тетяна Володимирівна","дружина"
"Білозір Оксана Володимирівна","Верховна Рада України ","Народний депутат України","nacp_9e148122-427b-43ba-a3c3-cfc313dba098","Білозір","TRUE","Володимирівна",2018-04-07,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9e148122-427b-43ba-a3c3-cfc313dba098","Оксана","1477583032125","Товариство з обмеженою відповідальністю","41388553","1",NA,"1522507946171","","Товариство з обмеженою відповідальністю ""СТАР РЕНТАЛ""","FALSE","100","FALSE","20000","1522507946171","Власність","",NA,NA,NA,NA,NA,NA,NA,"Недзельський Ярослав Романович","син"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1477511772358","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","37397588","1",NA,"1477544256379","","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""САХАР-ОК""","FALSE","24","FALSE","24000","1477544256379","Спільна власність","",24,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ПРИВАТНЕ ПІДПРИЄМСТВО","33124769","1",NA,"1477543188751","","ПРИВАТНЕ ПІДПРИЄМСТВО ""КРОПС""","FALSE","100","FALSE","1800000","1477543188751","Власність","",NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","31189253","1",NA,"1477541594291","","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПАНДА""","FALSE","80","FALSE","120376000","1477541594291","Спільна власність","",80,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1477511772358","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","31189253","1",NA,"1477543982470","","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПАНДА""","FALSE","20","FALSE","30094000","1477543982470","Спільна власність","",20,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","33003862","1",NA,"1477543090879","","СТОВ ""АФ ЗЛАГОДА""","FALSE","54","FALSE","10988","1477543090879","Спільна власність","",54,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ПРИВАТНЕ ПІДПРИЄМСТВО","34324255","1",NA,"1477541744940","","ПРИВАТНЕ ПІДПРИЄМСТВО ""СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""КАЛИНОВИЙ КРАЙ""","FALSE","75","FALSE","181500","1477541744940","Спільна власність","",75,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","30801453","1",NA,"1477543323768","","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАГРОСПІЛКА""","FALSE","6","FALSE","423800","1477543323768","Спільна власність","",6,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","03792906","1",NA,"1477542294329","","СТОВ ІМ.ВАТУТІНА","FALSE","75","FALSE","6037","1477542294329","Спільна власність","",75,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","37397588","1",NA,"1477543480500","","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""САХАР-ОК""","FALSE","76","FALSE","76000","1477543480500","Спільна власність","",76,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","03791143","1",NA,"1477542479619","","СТОВ ІМ.Б.ХМЕЛЬНИЦЬКОГО","FALSE","97","FALSE","7200","1477542479619","Спільна власність","",97,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1477511772358","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","32012939","1",NA,"1477544141918","","СТОВ АГРОФІРМА"" КОРСУНЬ""","FALSE","40","FALSE","5600","1477544141918","Спільна власність","",40,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","34821101","1",NA,"1477543871328","","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЩЕДРІ РОСИ""","FALSE","50","FALSE","20000","1477543871328","Спільна власність","",50,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","1","ПРИВАТНЕ ПІДПРИЄМСТВО","32904002","1",NA,"1477541980220","","ПРИВАТНЕ ПІДПРИЄМСТВО ""ШАНС""","FALSE","67","FALSE","1340","1477541980220","Спільна власність","",67,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Богдан Руслан Дмитрович","Верховна Рада України","народний депутат","nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Богдан","FALSE","Дмитрович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Руслан","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","35428467","1",NA,"1490795008104","","СОФІЯ 1","FALSE","99","FALSE","9108000","1490795008104","Власність","",NA,NA,NA,NA,NA,NA,NA,"Богдан Руслан Дмитрович",NA
"Богдан Руслан Дмитрович","Верховна Рада України","народний депутат","nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Богдан","FALSE","Дмитрович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Руслан","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","39829644","1",NA,"1490795090625","","РІДНИЙ СВІТ","FALSE","80","FALSE","425000","1490795090625","Власність","",NA,NA,NA,NA,NA,NA,NA,"Богдан Руслан Дмитрович",NA
"Богдан Руслан Дмитрович","Верховна Рада України","народний депутат","nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Богдан","FALSE","Дмитрович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Руслан","1","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ","35136671","1",NA,"1490794208470","","СТАТУС ФАВОРИТ","FALSE","100","FALSE","10507000","1490794208470","Власність","",NA,NA,NA,NA,NA,NA,NA,"Богдан Руслан Дмитрович",NA
